"COUNTRY.Name","INDICATOR.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","TIME_PERIOD","OBS_VALUE"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2019","46638"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2020","56670"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2021","62274"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2022","68387"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2023","74853"
"Equatorial Guinea, Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","22370"
"Equatorial Guinea, Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","23012"
"Equatorial Guinea, Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","28752"
"Equatorial Guinea, Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","36393"
"Equatorial Guinea, Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","34683"
"Equatorial Guinea, Republic of","Loan Accounts, Commercial banks","Number","Annual","2021","41858"
"Equatorial Guinea, Republic of","Loan Accounts, Commercial banks","Number","Annual","2022","76166"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2016","7735345"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2017","7688891"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2018","7410368"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2019","7590043"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2020","7611706"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2021","5572911"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2022","5441480"
"Greece","Loan Accounts, Commercial banks","Number","Annual","2023","5672357"
"Grenada","Loan Accounts, Commercial banks","Number","Annual","2020","18069"
"Grenada","Loan Accounts, Commercial banks","Number","Annual","2021","21901"
"Grenada","Loan Accounts, Commercial banks","Number","Annual","2022","23416"
"Grenada","Loan Accounts, Commercial banks","Number","Annual","2023","26067"
"Guyana","Loan Accounts, Commercial banks","Number","Annual","2016","52206"
"Guyana","Loan Accounts, Commercial banks","Number","Annual","2017","52894"
"Guyana","Loan Accounts, Commercial banks","Number","Annual","2018","50010"
"Guyana","Loan Accounts, Commercial banks","Number","Annual","2019","68532"
"Guyana","Loan Accounts, Commercial banks","Number","Annual","2020","50384"
"Guyana","Loan Accounts, Commercial banks","Number","Annual","2021","52013"
"Guyana","Loan Accounts, Commercial banks","Number","Annual","2022","52667"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2016","4356690"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2017","4572568"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2018","4761968"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2019","4968577"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2020","5107580"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2021","5435078"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2022","6052926"
"Guatemala","Loan Accounts, Commercial banks","Number","Annual","2023","6524263"
"Honduras","Loan Accounts, Commercial banks","Number","Annual","2016","1997299"
"Honduras","Loan Accounts, Commercial banks","Number","Annual","2017","1973085"
"Honduras","Loan Accounts, Commercial banks","Number","Annual","2018","1935432"
"Honduras","Loan Accounts, Commercial banks","Number","Annual","2019","1983081"
